qcom, 630, 149.837862
rut, 630, -60.769973
wmt, 630, 34.149602
hd, 630, 26.425095
low, 630, -10.503600
tgt, 630, 34.232890
cost, 630, -223.617287
nke, 630, -48.778083
ko, 630, 9.204930
xom, 630, 102.344710
cvx, 630, 219.248800
cop, 630, -65.223572
bp, 630, 22.254430
ibm, 630, 343.561490
aapl, 630, -444.611609
dj, 1000, 12085.451152
qcom, 1000, 149.837862
rut, 1000, -60.769973
wmt, 1000, 34.149602
hd, 1000, 26.425095
low, 1000, -10.503600
tgt, 1000, 34.232890
cost, 1000, -223.617287
nke, 1000, -48.778083
ko, 1000, 9.204930
xom, 1000, 102.344710
cvx, 1000, 219.248800
cop, 1000, -65.223572
bp, 1000, 22.254430
ibm, 1000, 343.561490
aapl, 1000, -444.611609
dj, 1584, 12085.451152
qcom, 1584, 149.837862
rut, 1584, -60.769973
wmt, 1584, 34.149602
hd, 1584, 26.425095
low, 1584, -10.503600
tgt, 1584, 34.232890
cost, 1584, -223.617287
nke, 1584, -48.778083
ko, 1584, 9.204930
xom, 1584, 102.344710
cvx, 1584, 219.248800
cop, 1584, -65.223572
bp, 1584, 22.254430
ibm, 1584, 343.561490
aapl, 1584, -444.611609
dj, 2511, 12085.451152
qcom, 2511, 149.837862
rut, 2511, -60.769973
wmt, 2511, 34.149602
hd, 2511, 26.425095
low, 2511, -10.503600
tgt, 2511, 34.232890
cost, 2511, -223.617287
nke, 2511, -48.778083
ko, 2511, 9.204930
xom, 2511, 102.344710
cvx, 2511, 219.248800
cop, 2511, -65.223572
bp, 2511, 22.254430
ibm, 2511, 343.561490
aapl, 2511, -444.611609
dj, 3981, 12085.451152
qcom, 3981, 149.837862
rut, 3981, -60.769973
wmt, 3981, 34.149602
hd, 3981, 26.425095
low, 3981, -10.503600
tgt, 3981, 34.232890
cost, 3981, -223.617287
nke, 3981, -48.778083
ko, 3981, 9.204930
xom, 3981, 102.344710
cvx, 3981, 219.248800
cop, 3981, -65.223572
bp, 3981, 22.254430
ibm, 3981, 343.561490
aapl, 3981, -444.611609
