       SimpleNNPredictor     3    39 0.30 0.21 0.29 0.20 0.50 0.54
       SimpleNNPredictor     7    39 0.24 0.28 0.25 0.24 0.48 0.48
         LinearPredictor     1    39 0.35 0.00 0.65 0.00 0.35 0.52
         LinearPredictor     3    39 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7    39 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1    39 0.21 0.14 0.33 0.32 0.53 0.48
        PatternPredictor     3    39 0.32 0.18 0.29 0.21 0.53 0.58
        PatternPredictor     7    39 0.37 0.15 0.33 0.16 0.52 0.60
       SimpleNNPredictor     1    63 0.20 0.16 0.36 0.29 0.49 0.43
       SimpleNNPredictor     3    63 0.21 0.29 0.21 0.29 0.50 0.45
       SimpleNNPredictor     7    63 0.43 0.09 0.43 0.06 0.48 0.62
         LinearPredictor     1    63 0.35 0.00 0.65 0.00 0.35 0.52
         LinearPredictor     3    63 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7    63 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1    63 0.21 0.14 0.35 0.30 0.51 0.46
        PatternPredictor     3    63 0.34 0.16 0.32 0.18 0.52 0.59
        PatternPredictor     7    63 0.35 0.17 0.31 0.18 0.53 0.59
       SimpleNNPredictor     1   100 0.16 0.19 0.30 0.35 0.51 0.40
       SimpleNNPredictor     3   100 0.29 0.21 0.28 0.22 0.51 0.54
       SimpleNNPredictor     7   100 0.19 0.32 0.23 0.26 0.46 0.42
         LinearPredictor     1   100 0.35 0.00 0.65 0.00 0.35 0.52
         LinearPredictor     3   100 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7   100 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1   100 0.21 0.14 0.35 0.29 0.51 0.46
        PatternPredictor     3   100 0.33 0.17 0.31 0.19 0.52 0.58
        PatternPredictor     7   100 0.37 0.14 0.32 0.16 0.53 0.61
       SimpleNNPredictor     1   158 0.22 0.14 0.40 0.25 0.47 0.45
       SimpleNNPredictor     3   158 0.22 0.28 0.20 0.29 0.51 0.48
       SimpleNNPredictor     7   158 0.18 0.33 0.19 0.29 0.47 0.41
         LinearPredictor     1   158 0.35 0.00 0.65 0.00 0.35 0.52
         LinearPredictor     3   158 0.00 0.50 0.00 0.50 0.50 0.00
         LinearPredictor     7   158 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1   158 0.21 0.14 0.36 0.29 0.50 0.46
        PatternPredictor     3   158 0.34 0.16 0.32 0.18 0.52 0.58
        PatternPredictor     7   158 0.39 0.13 0.35 0.14 0.53 0.62
       SimpleNNPredictor     1   251 0.25 0.10 0.46 0.19 0.44 0.47
       SimpleNNPredictor     3   251 0.38 0.12 0.39 0.11 0.50 0.60
       SimpleNNPredictor     7   251 0.39 0.12 0.39 0.10 0.49 0.61
         LinearPredictor     1   251 0.35 0.00 0.65 0.00 0.35 0.52
         LinearPredictor     3   251 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7   251 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1   251 0.21 0.14 0.36 0.28 0.50 0.46
        PatternPredictor     3   251 0.35 0.16 0.32 0.18 0.53 0.59
        PatternPredictor     7   251 0.38 0.13 0.34 0.14 0.53 0.62
       SimpleNNPredictor     1   398 0.15 0.20 0.28 0.37 0.52 0.38
       SimpleNNPredictor     3   398 0.40 0.10 0.39 0.11 0.51 0.62
       SimpleNNPredictor     7   398 0.28 0.23 0.24 0.24 0.52 0.54
         LinearPredictor     1   398 0.00 0.35 0.00 0.65 0.65 0.00
         LinearPredictor     3   398 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7   398 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1   398 0.21 0.14 0.36 0.28 0.50 0.46
        PatternPredictor     3   398 0.34 0.16 0.32 0.18 0.52 0.58
        PatternPredictor     7   398 0.38 0.13 0.34 0.15 0.53 0.62
