70 LinearPredictor 3 158 0.50 0.00 0.50 0.00 0.50 0.67
71 LinearPredictor 7 158 0.51 0.00 0.49 0.00 0.51 0.68
72 SimpleNNPredictor 1 251 0.26 0.10 0.45 0.20 0.45 0.48
73 SimpleNNPredictor 3 251 0.32 0.18 0.31 0.19 0.50 0.56
74 SimpleNNPredictor 7 251 0.37 0.14 0.36 0.12 0.49 0.60
75 LinearPredictor 1 251 0.35 0.00 0.65 0.00 0.35 0.52
76 LinearPredictor 3 251 0.50 0.00 0.50 0.00 0.50 0.67
77 LinearPredictor 7 251 0.51 0.00 0.49 0.00 0.51 0.68
78 SimpleNNPredictor 1 398 0.22 0.14 0.37 0.27 0.49 0.46
79 SimpleNNPredictor 3 398 0.29 0.21 0.31 0.19 0.48 0.53
80 SimpleNNPredictor 7 398 0.37 0.15 0.34 0.14 0.51 0.60
81 LinearPredictor 1 398 0.35 0.00 0.65 0.00 0.35 0.52
82 LinearPredictor 3 398 0.50 0.00 0.50 0.00 0.50 0.67
83 LinearPredictor 7 398 0.51 0.00 0.49 0.00 0.51 0.68
84 SimpleNNPredictor 1 630 0.20 0.15 0.36 0.29 0.49 0.44
85 SimpleNNPredictor 3 630 0.31 0.19 0.29 0.21 0.52 0.56
86 SimpleNNPredictor 7 630 0.43 0.08 0.42 0.07 0.50 0.63
87 LinearPredictor 1 630 0.35 0.00 0.65 0.00 0.35 0.52
88 LinearPredictor 3 630 0.50 0.00 0.50 0.00 0.50 0.67
89 LinearPredictor 7 630 0.51 0.00 0.49 0.00 0.51 0.68
