       SimpleNNPredictor     1     1 0.35 0.00 0.64 0.00 0.36 0.52
       SimpleNNPredictor     3     1 0.28 0.23 0.26 0.23 0.51 0.53
       SimpleNNPredictor     7     1 0.36 0.15 0.33 0.16 0.52 0.60
         LinearPredictor     1     1 0.28 0.08 0.50 0.15 0.43 0.49
         LinearPredictor     3     1 0.50 0.01 0.49 0.00 0.50 0.67
         LinearPredictor     7     1 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1     1 0.18 0.18 0.34 0.31 0.49 0.41
        PatternPredictor     3     1 0.22 0.28 0.21 0.29 0.51 0.47
        PatternPredictor     7     1 0.29 0.23 0.27 0.21 0.50 0.53
      SentimentPredictor     1     1 0.36 0.00 0.64 0.00 0.36 0.52
      SentimentPredictor     3     1 0.50 0.00 0.50 0.00 0.50 0.67
      SentimentPredictor     7     1 0.00 0.51 0.00 0.49 0.49 0.00
       SimpleNNPredictor     1     1 0.17 0.19 0.31 0.33 0.50 0.40
       SimpleNNPredictor     3     1 0.00 0.50 0.00 0.50 0.50 0.00
       SimpleNNPredictor     7     1 0.51 0.00 0.48 0.00 0.51 0.68
         LinearPredictor     1     1 0.36 0.00 0.64 0.00 0.36 0.52
         LinearPredictor     3     1 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7     1 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1     1 0.18 0.18 0.34 0.31 0.48 0.41
        PatternPredictor     3     1 0.26 0.24 0.26 0.23 0.50 0.51
        PatternPredictor     7     1 0.30 0.21 0.27 0.21 0.51 0.55
      SentimentPredictor     1     1 0.36 0.00 0.64 0.00 0.36 0.52
      SentimentPredictor     3     1 0.00 0.50 0.00 0.49 0.50 0.01
      SentimentPredictor     7     1 0.51 0.00 0.49 0.00 0.51 0.68
       SimpleNNPredictor     1     2 0.25 0.10 0.47 0.17 0.42 0.47
       SimpleNNPredictor     3     2 0.12 0.38 0.10 0.40 0.52 0.33
       SimpleNNPredictor     7     2 0.27 0.24 0.26 0.22 0.49 0.52
         LinearPredictor     1     2 0.36 0.00 0.64 0.00 0.36 0.52
         LinearPredictor     3     2 0.50 0.00 0.50 0.00 0.50 0.67
         LinearPredictor     7     2 0.51 0.00 0.49 0.00 0.51 0.68
        PatternPredictor     1     2 0.19 0.17 0.35 0.30 0.49 0.43
        PatternPredictor     3     2 0.28 0.23 0.28 0.21 0.49 0.52
        PatternPredictor     7     2 0.34 0.18 0.31 0.17 0.51 0.58
