1.0,  479, 953.00,  0.50
1.2,  443, 1016.00,  0.44
1.4, 1028, 1790.00,  0.57
1.6,  1068, 1969.00,  0.54
1.8,  1928, 2945.00,  0.65
2.0,  1194, 2348.00,  0.51
2.2,  1223, 2597.00,  0.47
2.4,  2255, 3987.00,  0.57
2.6,  1967, 3847.00,  0.51
2.8,  3246, 5299.00,  0.61
3.0,  6239, 9000.00,  0.69
3.2,  5827, 8783.00,  0.66
3.4,  4175, 7315.00,  0.57
3.6,  7289, 11342.00,  0.64
3.8,  9310, 14140.00,  0.66
